domain,rating,mbfc_url,retrieved
444.hu,Mostly Factual,https://mediabiasfactcheck.com/444-hungary-bias-and-credibility/,2026-07-02
972mag.com,High,https://mediabiasfactcheck.com/972-magazine/,2026-07-02
adweek.com,High,https://mediabiasfactcheck.com/adweek/,2026-07-02
afp.com,High,https://mediabiasfactcheck.com/afp-agence-france-presse/,2026-07-02
al-monitor.com,High,https://mediabiasfactcheck.com/al-monitor/,2026-07-02
aljazeera.com,Mixed,https://mediabiasfactcheck.com/al-jazeera/,2026-07-02
aljazeera.net,Mixed,https://mediabiasfactcheck.com/al-jazeera/,2026-07-02
ansa.it,High,https://mediabiasfactcheck.com/agenzia-nazionale-stampa-associata-ansa/,2026-07-02
arabnews.com,Mixed,https://mediabiasfactcheck.com/arab-news/,2026-07-02
axios.com,High,https://mediabiasfactcheck.com/axios/,2026-07-02
b92.net,Mixed,https://mediabiasfactcheck.com/b92-bias-and-credibility/,2026-07-02
bangkokpost.com,Mixed,https://mediabiasfactcheck.com/the-bangkok-post/,2026-07-02
bbc.com,Mostly Factual,https://mediabiasfactcheck.com/bbc/,2026-07-02
berlingske.dk,Mostly Factual,https://mediabiasfactcheck.com/berlingske/,2026-07-02
bild.de,Mixed,https://mediabiasfactcheck.com/bild/,2026-07-02
biobiochile.cl,Mostly Factual,https://mediabiasfactcheck.com/biobiochile-bias-and-credibility/,2026-07-02
businesslive.co.za,Mixed,https://mediabiasfactcheck.com/businesslive/,2026-07-02
caixin.com,Mixed,https://mediabiasfactcheck.com/caixin-global/,2026-07-02
calmatters.org,High,https://mediabiasfactcheck.com/calmatters-bias/,2026-07-02
cnet.com,High,https://mediabiasfactcheck.com/cnet/,2026-07-02
corriere.it,High,https://mediabiasfactcheck.com/corriere-della-sera/,2026-07-02
crisisgroup.org,Very High,https://mediabiasfactcheck.com/international-crisis-group/,2026-07-02
dailymaverick.co.za,Mostly Factual,https://mediabiasfactcheck.com/daily-maverick/,2026-07-02
dailytrust.com,Mostly Factual,https://mediabiasfactcheck.com/daily-trust-bias/,2026-07-02
dawn.com,Mostly Factual,https://mediabiasfactcheck.com/dawn/,2026-07-02
deadline.com,High,https://mediabiasfactcheck.com/deadline-hollywood/,2026-07-02
defensenews.com,High,https://mediabiasfactcheck.com/defense-news/,2026-07-02
digi24.ro,High,https://mediabiasfactcheck.com/digi24-bias/,2026-07-02
dpa-international.com,High,https://mediabiasfactcheck.com/dpa-german-press-agency/,2026-07-02
eldiario.es,High,https://mediabiasfactcheck.com/eldiario-es/,2026-07-02
elfinanciero.com.mx,Mostly Factual,https://mediabiasfactcheck.com/el-financiero-bias/,2026-07-02
en.zona.media,Mostly Factual,https://mediabiasfactcheck.com/zona-media-bias/,2026-07-02
engadget.com,High,https://mediabiasfactcheck.com/engadget/,2026-07-02
euromaidanpress.com,High,https://mediabiasfactcheck.com/euromaidan-press/,2026-07-02
firstpost.com,Mostly Factual,https://mediabiasfactcheck.com/first-post/,2026-07-02
focus.de,High,https://mediabiasfactcheck.com/focus-online-bias-and-credibility/,2026-07-02
foreignpolicy.com,High,https://mediabiasfactcheck.com/foreign-policy/,2026-07-02
france24.com,High,https://mediabiasfactcheck.com/france24/,2026-07-02
geo.tv,Mixed,https://mediabiasfactcheck.com/geo-tv-pakistan/,2026-07-02
gizmodo.com,High,https://mediabiasfactcheck.com/gizmodo/,2026-07-02
gothamist.com,High,https://mediabiasfactcheck.com/gothamist/,2026-07-02
gp.se,Mostly Factual,https://mediabiasfactcheck.com/goteborgs-posten/,2026-07-02
guardian.ng,Mixed,https://mediabiasfactcheck.com/guardian-nigeria/,2026-07-02
gulfnews.com,Mixed,https://mediabiasfactcheck.com/gulf-news/,2026-07-02
haaretz.com,High,https://mediabiasfactcheck.com/haaretz/,2026-07-02
hollywoodreporter.com,High,https://mediabiasfactcheck.com/hollywood-reporter/,2026-07-02
hrw.org,High,https://mediabiasfactcheck.com/human-rights-watch/,2026-07-02
ilfattoquotidiano.it,High,https://mediabiasfactcheck.com/il-fatto-quotidiano-bias/,2026-07-02
ilgiornale.it,Mostly Factual,https://mediabiasfactcheck.com/il-giornale/,2026-07-02
ilpost.it,High,https://mediabiasfactcheck.com/il-post-bias-and-credibility/,2026-07-02
ilsole24ore.com,Mostly Factual,https://mediabiasfactcheck.com/il-sole-24-ore-bias-and-credibility/,2026-07-02
independent.co.uk,Mixed,https://mediabiasfactcheck.com/the-independent/,2026-07-02
index.hr,High,https://mediabiasfactcheck.com/index-hr-croatia-bias/,2026-07-02
iranintl.com,Mixed,https://mediabiasfactcheck.com/iran-international-bias-and-credibility/,2026-07-02
irishexaminer.com,Mostly Factual,https://mediabiasfactcheck.com/the-irish-examiner/,2026-07-02
itv.com,Mostly Factual,https://mediabiasfactcheck.com/itv-news/,2026-07-02
jakartaglobe.id,Mostly Factual,https://mediabiasfactcheck.com/jakarta-globe-bias/,2026-07-02
jeuneafrique.com,High,https://mediabiasfactcheck.com/jeune-afrique-bias-and-credibility/,2026-07-02
jordantimes.com,Mixed,https://mediabiasfactcheck.com/the-jordan-times/,2026-07-02
jpost.com,Mostly Factual,https://mediabiasfactcheck.com/the-jerusalem-post/,2026-07-02
latimes.com,High,https://mediabiasfactcheck.com/la-times-los-angeles-times/,2026-07-02
laverita.info,Mixed,https://mediabiasfactcheck.com/la-verita-bias/,2026-07-02
lemonde.fr,High,https://mediabiasfactcheck.com/le-monde-bias/,2026-07-02
leparisien.fr,High,https://mediabiasfactcheck.com/le-parisien-bias/,2026-07-02
lesoir.be,High,https://mediabiasfactcheck.com/le-soir/,2026-07-02
lorientlejour.com,High,https://mediabiasfactcheck.com/lorient-le-jour-bias-and-credibility/,2026-07-02
mashable.com,Mostly Factual,https://mediabiasfactcheck.com/mashable/,2026-07-02
mb.com.ph,Mixed,https://mediabiasfactcheck.com/manila-bulletin/,2026-07-02
mg.co.za,Mixed,https://mediabiasfactcheck.com/mail-guardian-bias/,2026-07-02
middleeasteye.net,Mostly Factual,https://mediabiasfactcheck.com/middle-east-eye/,2026-07-02
monitor.co.ug,Mostly Factual,https://mediabiasfactcheck.com/daily-monitor-uganda-bias/,2026-07-02
nation.africa,Mixed,https://mediabiasfactcheck.com/the-daily-nation/,2026-07-02
news.sky.com,High,https://mediabiasfactcheck.com/sky-news/,2026-07-02
news.un.org,High,https://mediabiasfactcheck.com/un-news-bias/,2026-07-02
news24.com,High,https://mediabiasfactcheck.com/news24-south-africa/,2026-07-02
pravda.com.ua,Mostly Factual,https://mediabiasfactcheck.com/ukrayinska-pravda-the-ukrainian-truth/,2026-07-02
